folio,tag,meta_left,scribal,line_text,word_index,original_word,cleaned_word,unified_word,has_markup,ambiguity_notes
f1r,f1r,f1r,,,,,,,False,
f1r,f1r.P1.1;H,f1r.P1.1,H,fachys.ykal.ar.ataiin.shol.shory.cthres.y.kor.sholdy,1,fachys.ykal.ar.ataiin.shol.shory.cthres.y.kor.sholdy,fachys.ykal.ar.ataiin.shol.shory.cthres.y.kor.sholdy,fachys.ykal.ar.ataiin.shol.shory.cthres.y.kor.sholdy,False,many_dots
f1r,f1r.P1.2;H,f1r.P1.2,H,sory.ckhar.or.y.kair.chtaiin.shar.are.cthar.cthar.dan,1,sory.ckhar.or.y.kair.chtaiin.shar.are.cthar.cthar.dan,sory.ckhar.or.y.kair.chtaiin.shar.are.cthar.cthar.dan,sory.ckhar.or.y.kair.chtaiin.shar.are.cthar.cthar.dan,False,many_dots
f1r,f1r.P1.3;H,f1r.P1.3,H,syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa,1,syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa,syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa,syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa,False,many_dots
f1r,f1r.P1.4;H,f1r.P1.4,H,ooiin.oteey.oteos.roloty.cth*ar.daiin.otaiin.or.okan,1,ooiin.oteey.oteos.roloty.cth*ar.daiin.otaiin.or.okan,ooiin.oteey.oteos.roloty.cthar.daiin.otaiin.or.okan,ooiin.oteey.oteos.roloty.cthar.daiin.otaiin.or.okan,True,markup_removed;changed_by_cleaning;many_dots
f1r,f1r.P1.5;H,f1r.P1.5,H,dair.y.chear.cthaiin.cphar.cfhaiin,1,dair.y.chear.cthaiin.cphar.cfhaiin,dair.y.chear.cthaiin.cphar.cfhaiin,dair.y.chear.cthaiin.cphar.cfhaiin,False,many_dots
f1r,f1r.T1.6;H,f1r.T1.6,H,ydaraishy,1,ydaraishy,ydaraishy,ydaraishy,False,
f1r,f1r.P2.7;H,f1r.P2.7,H,*.odar.o.y.shol.cphoy.oydar.sh.s.cfhoaiin.shodary,1,*.odar.o.y.shol.cphoy.oydar.sh.s.cfhoaiin.shodary,.odar.o.y.shol.cphoy.oydar.sh.s.cfhoaiin.shodary,.odar.o.y.shol.cphoy.oydar.sh.s.cfhoaiin.shodary,True,markup_removed;changed_by_cleaning;many_dots
f1r,f1r.P2.8;H,f1r.P2.8,H,yshey.shody.okchoy.otchol.chocthy.oschy.dain.chor.kos,1,yshey.shody.okchoy.otchol.chocthy.oschy.dain.chor.kos,yshey.shody.okchoy.otchol.chocthy.oschy.dain.chor.kos,yshey.shody.okchoy.otchol.chocthy.oschy.dain.chor.kos,False,many_dots
f1r,f1r.P2.9;H,f1r.P2.9,H,daiin.shos.cfhol.shody,1,daiin.shos.cfhol.shody,daiin.shos.cfhol.shody,daiin.shos.cfhol.shody,False,
f1r,f1r.T2.10;H,f1r.T2.10,H,dain.os.teody,1,dain.os.teody,dain.os.teody,dain.os.teody,False,
f1r,f1r.P3.11;H,f1r.P3.11,H,*.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodales,1,*.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodales,.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodales,.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodales,True,markup_removed;changed_by_cleaning;many_dots
f1r,f1r.P3.12;H,f1r.P3.12,H,oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin,1,oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin,oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin,oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin,False,many_dots
f1r,f1r.P3.13;H,f1r.P3.13,H,shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d,1,shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d,shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d,shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d,False,many_dots
f1r,f1r.P3.14;H,f1r.P3.14,H,dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod,1,dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod,dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod,dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod,False,many_dots
f1r,f1r.P3.15;H,f1r.P3.15,H,daiin.shckhey.ckeor.chor.shey.kol.chol.chol.kor.chal,1,daiin.shckhey.ckeor.chor.shey.kol.chol.chol.kor.chal,daiin.shckhey.ckeor.chor.shey.kol.chol.chol.kor.chal,daiin.shckhey.ckeor.chor.shey.kol.chol.chol.kor.chal,False,many_dots
f1r,f1r.P3.16;H,f1r.P3.16,H,sho.chol.shodan.kshy.kchy.dor.chodaiin.sho.kchom,1,sho.chol.shodan.kshy.kchy.dor.chodaiin.sho.kchom,sho.chol.shodan.kshy.kchy.dor.chodaiin.sho.kchom,sho.chol.shodan.kshy.kchy.dor.chodaiin.sho.kchom,False,many_dots
f1r,f1r.P3.17;H,f1r.P3.17,H,ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy,1,ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy,ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy,ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy,False,many_dots
f1r,f1r.P3.18;H,f1r.P3.18,H,yto.shol.she.kodshey.cphealy.dasain.dain.ckhyds,1,yto.shol.she.kodshey.cphealy.dasain.dain.ckhyds,yto.shol.she.kodshey.cphealy.dasain.dain.ckhyds,yto.shol.she.kodshey.cphealy.dasain.dain.ckhyds,False,many_dots
f1r,f1r.P3.19;H,f1r.P3.19,H,dchar.shcthaiin.okaiir.chey.rchy.potol.cthols.dlocta,1,dchar.shcthaiin.okaiir.chey.rchy.potol.cthols.dlocta,dchar.shcthaiin.okaiir.chey.rchy.potol.cthols.dlocta,dchar.shcthaiin.okaiir.chey.rchy.potol.cthols.dlocta,False,many_dots
f1r,f1r.P3.20;H,f1r.P3.20,H,shok.chor.chey.dain.ckhey,1,shok.chor.chey.dain.ckhey,shok.chor.chey.dain.ckhey,shok.chor.chey.dain.ckhey,False,many_dots
f1r,f1r.T3.21;H,f1r.T3.21,H,otol.daiiin,1,otol.daiiin,otol.daiiin,otol.daiiin,False,
f1r,f1r.P4.22;H,f1r.P4.22,H,cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d*,1,cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d*,cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d,cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d,True,markup_removed;changed_by_cleaning;many_dots
f1r,f1r.P4.23;H,f1r.P4.23,H,*doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar,1,*doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar,doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar,doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar,True,markup_removed;changed_by_cleaning;many_dots
f1r,f1r.P4.24;H,f1r.P4.24,H,cho*o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,1,cho*o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,choo.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,choo.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,True,markup_removed;changed_by_cleaning;many_dots
f1r,f1r.P4.25;H,f1r.P4.25,H,ycheey.okay.oky.daiin.okchey.kokaiin.**chol.k**chy.dal,1,ycheey.okay.oky.daiin.okchey.kokaiin.**chol.k**chy.dal,ycheey.okay.oky.daiin.okchey.kokaiin.chol.kchy.dal,ycheey.okay.oky.daiin.okchey.kokaiin.chol.kchy.dal,True,markup_removed;changed_by_cleaning;many_dots
f1r,f1r.P4.26;H,f1r.P4.26,H,d*eeo.shody.koshey.cthy.okchey.keey.keey.dal.chtor,1,d*eeo.shody.koshey.cthy.okchey.keey.keey.dal.chtor,deeo.shody.koshey.cthy.okchey.keey.keey.dal.chtor,deeo.shody.koshey.cthy.okchey.keey.keey.dal.chtor,True,markup_removed;changed_by_cleaning;many_dots
f1r,f1r.P4.27;H,f1r.P4.27,H,*eo.chol.chok.choty.chotey,1,*eo.chol.chok.choty.chotey,eo.chol.chok.choty.chotey,eo.chol.chok.choty.chotey,True,markup_removed;changed_by_cleaning;many_dots
f1r,f1r.T4.28;H,f1r.T4.28,H,dchaiin,1,dchaiin,dchaiin,dchaiin,False,
f1v,f1v,f1v,,,,,,,False,
f1v,f1v.P.1;H,f1v.P.1,H,kchsy.chadaiin.ololtchey.char.cfhar.am,1,kchsy.chadaiin.ololtchey.char.cfhar.am,kchsy.chadaiin.ololtchey.char.cfhar.am,kchsy.chadaiin.ololtchey.char.cfhar.am,False,many_dots
f1v,f1v.P.2;H,f1v.P.2,H,yteeay.char.or.ochydcho.lkody.okodar.chody,1,yteeay.char.or.ochydcho.lkody.okodar.chody,yteeay.char.or.ochydcho.lkody.okodar.chody,yteeay.char.or.ochydcho.lkody.okodar.chody,False,many_dots
f1v,f1v.P.3;H,f1v.P.3,H,do.ckhy.ckho.ckhy.shydksheey.cthy.kotchody.dal,1,do.ckhy.ckho.ckhy.shydksheey.cthy.kotchody.dal,do.ckhy.ckho.ckhy.shydksheey.cthy.kotchody.dal,do.ckhy.ckho.ckhy.shydksheey.cthy.kotchody.dal,False,many_dots
f1v,f1v.P.4;H,f1v.P.4,H,dol.chokeo.dair.damsochey.chokody,1,dol.chokeo.dair.damsochey.chokody,dol.chokeo.dair.damsochey.chokody,dol.chokeo.dair.damsochey.chokody,False,many_dots
f1v,f1v.P.5;H,f1v.P.5,H,potoy.shol.dair.cphoaldar.chey.tody.otoaiin.shoshy,1,potoy.shol.dair.cphoaldar.chey.tody.otoaiin.shoshy,potoy.shol.dair.cphoaldar.chey.tody.otoaiin.shoshy,potoy.shol.dair.cphoaldar.chey.tody.otoaiin.shoshy,False,many_dots
f1v,f1v.P.6;H,f1v.P.6,H,choky.chol.cthol.shol.okaldolchey.chodo.lol.chy.cthy,1,choky.chol.cthol.shol.okaldolchey.chodo.lol.chy.cthy,choky.chol.cthol.shol.okaldolchey.chodo.lol.chy.cthy,choky.chol.cthol.shol.okaldolchey.chodo.lol.chy.cthy,False,many_dots
f1v,f1v.P.7;H,f1v.P.7,H,qo.ol.choeee.cheol.dol.ctheyykol.dol.dolo.ykol.do.lchody,1,qo.ol.choeee.cheol.dol.ctheyykol.dol.dolo.ykol.do.lchody,qo.ol.choeee.cheol.dol.ctheyykol.dol.dolo.ykol.do.lchody,qo.ol.choeee.cheol.dol.ctheyykol.dol.dolo.ykol.do.lchody,False,many_dots
